Vendor identifier,Country,Name,Address,ZIP/postcode,City,Email,Bank country,Currency,VAT Code,Bank Name,IBAN,Payment terms,BIC,Bank Account Number,Norwegian Bankgiro Number,Bank Code,Company entities,Vendor Group
627481305,Denmark,PlxZyqA15 A/S,Nellemoseveien 15,5683,Oslo,,Denmark,DKK,NO238479520,First National Bank,NO7645392186463,Within 7 Days,SYBSEK45,16047935423,7281493,,NO,Suppliers
384926731,Norway,ThraBexor Ltd,Seljeveien 3,575,Bergen,,Norway,NOK,SE348792561,Central Trust Bank,,Within 14 Days,,46203122859,40261738,,NO,Suppliers
521843092,Norway,VotrellisCorp,Karoline Kristiansens vei 5,661,Oslo,,Norway,NOK,NO493857160,Bank of the East,NO9582764827301,Within 30 Days,2097314653,81250697381,58310927,,NO,Suppliers
764218395,Norway,GlebrixLabs AS,Hans Michelsens veg 8,7080,Drammen,,Norway,NOK,NO502938714,Northern Savings Bank,,Within 60 Days,NDKEPNXQ,81210153866,29471638,,NO,Suppliers
918372465,Norway,Serpionus Tech,Pottemakerveien 12,954,Oslo,,Norway,NOK,847203611,Capital City Bank,NO3014267057812,Within 7 Days,,32173629501,51732908,,NO,Suppliers
103847265,Norway,Mavokke Ltd,Torvgaten 11,4836,Oslo,,Norway,NOK,NO 956 374 839,Citizens Credit Union,,Within 14 Days,DNBCATOBXX,70480322527,62834071,,NO,Suppliers
528374961,Norway,Tredelix Group,Drammensveien 152,277,Moss,,Norway,NOK,NO285913470,Global Finance Bank,NO5268039476173,Within 30 Days,,60980437455,39084756,,NO,Suppliers
,,,,,,,,,,Trustwell Bank,,,,,17382905,,,
491026583,Norway,Wynatech AS,Karvesvingen 7,579,Kristiansand S,,Norway,NOK,563092847,Sunrise Federal Bank,,Within 60 Days,SPTRNO32,16037240579,61493827,,NO,Suppliers
826394751,Norway,Ravernix Solutions,Torggata 5,181,Oslo,,Norway,NOK,NO192374650,Summit Financial,2345 10 85947,Within 7 Days,,16034789254,29104837,,NO,Suppliers
294738516,Norway,Exoplus Enterprises,Trondheimsveien 9,560,Lysaker,,Norway,NOK,235 849 160 MVA,Mountain View Bank,,Within 14 Days,DNBPAOXX,,73826504,,NO,Suppliers
763192584,Norway,Klyptos Global,Grensen 11 B,159,Stockholm,,Norway,NOK,639283174,Pacific Horizon Bank,NO6194328056730,Within 30 Days,,65024329580,48271639,,NO,Suppliers
927461308,Norway,Drogzonix AS,Bangvegen 470,7514,Oslo,,Norway,NOK,NO581734602,United Community Bank,,Within 60 Days,DNBREIKL,50947630951,53029176,,NO,Suppliers
348562719,Norway,Zorveta Services,Henrik Ibsens gate 62,255,Oslo,,Norway,NOK,NO703258914,Regional Trust Bank,NO1852396478903,Within 7 Days,,,94716320,,NO,Suppliers
675139248,Norway,Venkorix Holdings,Øvre Slottsgate 5,157,Oslo,,Norway,NOK,NO 314827905,Infinity Financial Group,,Within 14 Days,DNBVNKPXX,18241793057,28419375,,NO,Suppliers
384917526,Norway,Leltrix Network,Risengbakken 12,3413,Oslo,,Norway,NOK,NO948570632,Coastal National Bank,NO6475201389071,Within 30 Days,,50940861412,31029476,,NO,Suppliers
109283745,Norway,Axylosys Inc,Dronning Eufemias gate 14,191,Arendal,,Norway,NOK,NO562893174,Heritage Savings Bank,,Within 60 Days,NDHRFLNF,97535638150,57231894,,NO,Suppliers
627394815,Norway,Bravrix Global,Selma Ellefsens vei 10,581,Heimdal,,Norway,NOK,716528490,Liberty Financial,NO4957612309786,Within 7 Days,,39207654182,68490213,,NO,Suppliers
841930762,Norway,VeldanaTech AS,Postvegen 14,6018,Oslo,,Norway,NOK,NO 129457620,Union Reserve Bank,,Within 14 Days,DNBIRRXL,,47281590,,NO,Suppliers
726481305,Columbia,Tharionix Solutions,Bygg A3,473,Tiller,,Norway,NOK,NO627389251,Riverside Trust Bank,NO2187956041827,Within 30 Days,,16067027682,93620147,,NO,Suppliers
193847265,Norway,Zentrovia Enterprises,C/O Greenhouse Stavanger,191,Oslo,,Norway,NOK,530168479,Prime Bank Group,,Within 60 Days,HANDHNXX,11203956781,81420753,,NO,Suppliers
561094273,Norway,Dravexor Ltd,Brekkerødveien 45,1782,Oslo,,Norway,NOK,894276103,American Integrity Bank,NO8460539276473,Within 7 Days,SPQENR72,26347302551,51693482,,NO,Suppliers
829374156,Norway,Myrtavex Industries,Schæffers gate 8A,558,Oslo,,Norway,NOK,671205948,Valley Bank & Trust,,Within 14 Days,,60128653175,73820915,,NO,Suppliers
306948512,Norway,Belterian AS,Langkaia 3,150,Grålum,,Norway,NOK,NO 527 804 612,Golden State Bank,NO3195601874126,Within 30 Days,ESSPKOLX,16074310259,41827305,,NO,Suppliers
785263409,Norway,Nyvotek Labs,Parkgata 6,6003,Oslo,,Norway,NOK,376815924,Metro Community Bank,,Within 60 Days,DNBJUSNL,,57013428,,NO,Manufacturing
